b01	Здравствуйте.	Zdravstvuyte.
l06	Где можно поставить палатку?	Gde mozhno postavit palatku?
l07	Здесь можно ставить палатку?	Zdes mozhno stavit palatku?
l08	Где душ?	Gde dush?
l09	Ключ, пожалуйста.	Klyuch, pozhaluysta.
l10	Во сколько выезд?	Vo skolko vyyezd?
o01	Эта тропа открыта?	Eta tropa otkryta?
o02	Куда ведёт эта тропа?	Kuda vedyot eta tropa?
o03	Сколько километров до вершины?	Skolko kilometrov do vershiny?
o04	На тропе есть вода?	Na trope yest voda?
o05	Где ближайший источник воды?	Gde blizhayshiy istochnik vody?
o06	Переправа через реку безопасна?	Pereprava cherez reku bezopasna?
o07	Приближается непогода.	Priblizhayetsya nepogoda.
o08	Где ближайшее укрытие?	Gde blizhaysheye ukrytiye?
o09	Здесь есть опасные животные?	Zdes yest opasnyye zhivotnyye?
o10	Вы видели этого человека?	Vy videli etogo cheloveka?
o11	Как пройти к началу тропы?	Kak proyti k nachalu tropy?
o12	Где пост лесника?	Gde post lesnika?
o13	Подвезёте до города?	Podvezyote do goroda?
o14	Моя рация связывает меня с группой.	Moya ratsiya svyazyvayet menya s gruppoy.
o15	Здесь есть мобильная связь?	Zdes yest mobilnaya svyaz?
n01	Ноль	Nol
n02	Один	Odin
n03	Два	Dva
n04	Три	Tri
n05	Четыре	Chetyre
n06	Пять	Pyat
n07	Шесть	Shest
n08	Семь	Sem
n09	Восемь	Vosem
n10	Девять	Devyat
n11	Десять	Desyat
n12	Двадцать	Dvadtsat
n13	Пятьдесят	Pyatdesyat
n14	Сто	Sto
n15	Тысяча	Tysyacha
n16	Сегодня	Segodnya
n17	Завтра	Zavtra
n18	Вчера	Vchera
n19	Сейчас	Seychas
n20	Позже	Pozzhe
n21	Один час	Odin chas
n22	Утро	Utro
n23	Ночь	Noch
