o08	가장 가까운 대피소가 어디예요?	gajang gakkaun daepisoga eodiyeyo?
o09	여기 위험한 동물이 있어요?	yeogi wiheomhan dongmuri isseoyo?
o10	이 사람 보셨어요?	i saram bosyeosseoyo?
o11	등산로 입구는 어느 쪽이에요?	deungsanno ipguneun eoneu jjogieyo?
o12	관리사무소가 어디예요?	gwallisamusoga eodiyeyo?
o13	시내까지 태워 주실 수 있어요?	sinaekkaji taewo jusil su isseoyo?
o14	제 무전기로 일행과 연락돼요.	je mujeongiro ilhaenggwa yeollakdwaeyo.
o15	여기 휴대폰 신호가 잡혀요?	yeogi hyudaepon sinhoga japyeoyo?
n01	영	yeong
n02	하나	hana
n03	둘	dul
n04	셋	set
n05	넷	net
n06	다섯	daseot
n07	여섯	yeoseot
n08	일곱	ilgop
n09	여덟	yeodeol
n10	아홉	ahop
n11	열	yeol
n12	스물	seumul
n13	오십	osip
n14	백	baek
n15	천	cheon
n16	오늘	oneul
n17	내일	naeil
n18	어제	eoje
n19	지금	jigeum
n20	나중에	najunge
n21	한 시간	han sigan
n22	아침	achim
n23	밤	bam
