b01	こんにちは。	konnichiwa
o10	この人を見ましたか？	kono hito o mimashita ka?
o11	登山口はどちらですか？	tozanguchi wa dochira desu ka?
o12	管理事務所はどこですか？	kanri jimusho wa doko desu ka?
o13	町まで乗せてもらえますか？	machi made nosete moraemasu ka?
o14	無線で仲間と連絡できます。	musen de nakama to renraku dekimasu
o15	ここは携帯の電波がありますか？	koko wa keitai no denpa ga arimasu ka?
n01	ゼロ	zero
n02	一	ichi
n03	二	ni
n04	三	san
n05	四	yon
n06	五	go
n07	六	roku
n08	七	nana
n09	八	hachi
n10	九	kyū
n11	十	jū
n12	二十	nijū
n13	五十	gojū
n14	百	hyaku
n15	千	sen
n16	今日	kyō
n17	明日	ashita
n18	昨日	kinō
n19	今	ima
n20	あとで	ato de
n21	一時間	ichijikan
n22	朝	asa
n23	夜	yoru
